	matchId	rank	elo
0	LA1_1264914154	IV	IRON
1	LA1_1232957650	IV	IRON
2	LA1_1232471520	IV	IRON
3	LA1_1232458817	IV	IRON
4	LA1_1232437837	IV	IRON
5	LA1_1232426307	IV	IRON
6	LA1_1232444988	IV	IRON
7	LA1_1232434038	IV	IRON
8	LA1_1231685738	IV	IRON
9	LA1_1229990827	IV	IRON
10	LA1_1224863066	IV	IRON
11	LA1_1223806933	IV	IRON
12	LA1_1223792732	IV	IRON
13	LA1_1223593191	IV	IRON
14	LA1_1223611531	IV	IRON
15	LA1_1223417036	IV	IRON
16	LA1_1223392836	IV	IRON
17	LA1_1219852429	IV	IRON
18	LA1_1219851745	IV	IRON
19	LA1_1218215235	IV	IRON
20	LA1_1293832919	IV	IRON
21	LA1_1293808130	IV	IRON
22	LA1_1293785328	IV	IRON
23	LA1_1293800608	IV	IRON
24	LA1_1293763010	IV	IRON
25	LA1_1293366835	IV	IRON
26	LA1_1293343554	IV	IRON
27	LA1_1293167654	IV	IRON
28	LA1_1291994518	IV	IRON
29	LA1_1291982120	IV	IRON
30	LA1_1290981817	IV	IRON
31	LA1_1290966034	IV	IRON
32	LA1_1290902638	IV	IRON
33	LA1_1290888611	IV	IRON
34	LA1_1290875084	IV	IRON
35	LA1_1290861922	IV	IRON
36	LA1_1290746057	IV	IRON
37	LA1_1290762568	IV	IRON
38	LA1_1290740119	IV	IRON
39	LA1_1290653802	IV	IRON
40	LA1_1276747380	IV	IRON
41	LA1_1276750788	IV	IRON
42	LA1_1276693698	IV	IRON
43	LA1_1276710642	IV	IRON
44	LA1_1276530500	IV	IRON
45	LA1_1276413544	IV	IRON
46	LA1_1276396412	IV	IRON
47	LA1_1274609434	IV	IRON
48	LA1_1274603096	IV	IRON
49	LA1_1273194956	IV	IRON
50	LA1_1273025665	IV	IRON
51	LA1_1271038607	IV	IRON
52	LA1_1270316717	IV	IRON
53	LA1_1268136085	IV	IRON
54	LA1_1268118601	IV	IRON
55	LA1_1266548616	IV	IRON
56	LA1_1264260009	IV	IRON
57	LA1_1264236174	IV	IRON
58	LA1_1264220884	IV	IRON
59	LA1_1263758624	IV	IRON
60	LA1_1287299005	IV	IRON
61	LA1_1287317055	IV	IRON
62	LA1_1287294777	IV	IRON
63	LA1_1287301840	IV	IRON
64	LA1_1287257152	IV	IRON
65	LA1_1276028144	IV	IRON
66	LA1_1276036395	IV	IRON
67	LA1_1276016723	IV	IRON
68	LA1_1276015907	IV	IRON
69	LA1_1275649326	IV	IRON
70	LA1_1275656950	IV	IRON
71	LA1_1273119686	IV	IRON
72	LA1_1273118955	IV	IRON
73	LA1_1273117504	IV	IRON
74	LA1_1273116798	IV	IRON
75	LA1_1273097084	IV	IRON
76	LA1_1273116049	IV	IRON
77	LA1_1272718330	IV	IRON
78	LA1_1272735903	IV	IRON
79	LA1_1272734738	IV	IRON
80	LA1_1236822104	IV	IRON
81	LA1_1236788879	IV	IRON
82	LA1_1236813926	IV	IRON
83	LA1_1236738940	IV	IRON
84	LA1_1236726233	IV	IRON
85	LA1_1236700961	IV	IRON
86	LA1_1236685089	IV	IRON
87	LA1_1236603286	IV	IRON
88	LA1_1236558654	IV	IRON
89	LA1_1236560500	IV	IRON
90	LA1_1236506181	IV	IRON
91	LA1_1236466766	IV	IRON
92	LA1_1236424279	IV	IRON
93	LA1_1236351916	IV	IRON
94	LA1_1236262382	IV	IRON
95	LA1_1236270410	IV	IRON
96	LA1_1236249053	IV	IRON
97	LA1_1236256528	IV	IRON
98	LA1_1236252727	IV	IRON
99	LA1_1236208812	IV	IRON
100	LA1_1293859309	IV	IRON
101	LA1_1293875019	IV	IRON
